年,月,日,曜日,市場名,市場コード,品目名,品目コード,産地名,産地コード,品目計,入荷量,高値,中値,安値,等級,階級,品名,量目,動向
2016,11,25,金,盛岡,03300,だいこん,30100,千　葉,012,21.3,9.8,-,1188,-,D,,青首,15,強い
2016,11,25,金,盛岡,03300,だいこん,30100,神奈川,014,,8.6,-,432,-,ｼﾕｳ,3L,,2,
2016,11,25,金,盛岡,03300,だいこん,30100,岩　手,003,,2.9,-,864,-,A,L,,10,
2016,11,25,金,盛岡,03300,かぶ,30200,青　森,002,9.4,2.7,2160,1404,1404,,M,赤かぶ,10,強保合
2016,11,25,金,盛岡,03300,かぶ,30200,岩　手,003,,0.1,-,864,-,A,ﾁﾕｳ,赤かぶ,10,
2016,11,25,金,盛岡,03300,にんじん,30300,岩　手,003,18.2,2.0,-,1080,-,A,LL,,10,強い
2016,11,25,金,盛岡,03300,にんじん,30300,青　森,002,,0.4,-,1080,-,,3L,,10,
2016,11,25,金,盛岡,03300,ごぼう,30400,青　森,002,3.6,3.5,1296,972,756,,2S,洗い,4,強い
2016,11,25,金,盛岡,03300,れんこん,30600,茨　城,008,0.4,0.4,-,2808,-,A,M,,4,保合
2016,11,25,金,盛岡,03300,はくさい,31100,茨　城,008,6.0,4.2,-,1188,-,A,LL,黄芯,13,保合
2016,11,25,金,盛岡,03300,はくさい,31100,岩　手,003,,1.8,-,432,-,A,M,,15,
2016,11,25,金,盛岡,03300,みず菜,31310,岩　手,003,1.2,0.3,86,65,65,A,M,,0.2,弱保合
2016,11,25,金,盛岡,03300,こまつな,31500,岩　手,003,1.7,0.3,86,-,76,A,M,,0.25,保合
2016,11,25,金,盛岡,03300,キャベツ,31700,千　葉,012,16.5,10.2,-,1512,-,,L,春,10,強保合
2016,11,25,金,盛岡,03300,キャベツ,31700,茨　城,008,,3.1,1296,-,918,A,L,,10,
2016,11,25,金,盛岡,03300,キャベツ,31700,岩　手,003,,2.9,-,2160,-,A,M,レッド,10,
2016,11,25,金,盛岡,03300,ほうれんそう,31800,岩　手,003,4.2,1.5,130,119,108,A,M,ハウス,0.17,保合
2016,11,25,金,盛岡,03300,ほうれんそう,31800,群　馬,010,,0.9,162,-,140,A,M,,0.2,
2016,11,25,金,盛岡,03300,ねぎ,31900,岩　手,003,6.0,3.8,864,-,540,,,,5,保合
2016,11,25,金,盛岡,03300,ねぎ,31900,青　森,002,,1.3,-,270,-,,,泥付き,2,
2016,11,25,金,盛岡,03300,しゅんぎく,32600,栃　木,009,0.7,0.3,2592,1728,1728,A,L,,3,保合
2016,11,25,金,盛岡,03300,しゅんぎく,32600,岩　手,003,,0.1,-,92,-,ﾄｸA,,,0.15,
2016,11,25,金,盛岡,03300,にら,32800,栃　木,009,1.1,0.9,4968,4320,4320,A,L,,4,強保合
2016,11,25,金,盛岡,03300,セルリー,32900,,,0.4,,,,,,,,,比較できず
2016,11,25,金,盛岡,03300,アスパラガス,33100,,,0.1,,,,,,,,,比較できず
2016,11,25,金,盛岡,03300,カリフラワー,33200,岩　手,003,0.2,0.1,-,1620,-,,8,,5,強い
2016,11,25,金,盛岡,03300,ブロッコリー,33300,群　馬,010,2.2,0.8,-,2700,-,A,,,8,強保合
2016,11,25,金,盛岡,03300,レタス,33400,茨　城,008,12.5,11.4,-,2138,-,,12,,5.5,保合
2016,11,25,金,盛岡,03300,チンゲンサイ,33810,千　葉,012,0.7,0.3,86,76,65,,L,,0.4,弱い
2016,11,25,金,盛岡,03300,きゅうり,34100,群　馬,010,5.0,1.6,-,1512,-,ﾏﾙA,,,4,保合
2016,11,25,金,盛岡,03300,きゅうり,34100,岩　手,003,,1.1,3240,-,2700,BB,,ハウス,10,
2016,11,25,金,盛岡,03300,かぼちゃ,34200,岩　手,003,2.0,2.0,-,756,-,,,,10,弱い
2016,11,25,金,盛岡,03300,なす,34300,岩　手,003,1.0,0.1,-,1296,-,B,,,5,弱い
2016,11,25,金,盛岡,03300,なす,34300,群　馬,010,,0.0,-,648,-,C,,,5,
2016,11,25,金,盛岡,03300,トマト,34400,宮　崎,045,0.9,0.2,-,3024,-,A,L,,4,強い
2016,11,25,金,盛岡,03300,ミニトマト,34460,群　馬,010,0.8,0.3,-,194,-,A,L,,0.2,弱保合
2016,11,25,金,盛岡,03300,ピーマン,34500,宮　崎,045,5.4,4.2,86,-,76,A,M,,0.13,保合
2016,11,25,金,盛岡,03300,さやえんどう,35200,,,0.1,,,,,,,,,比較できず
2016,11,25,金,盛岡,03300,かんしょ,36100,,,4.8,,,,,,,,,比較できず
2016,11,25,金,盛岡,03300,ばれいしょ,36200,岩　手,003,10.1,0.1,-,756,-,A,ﾁﾕｳ,,10,強い
2016,11,25,金,盛岡,03300,さといも,36300,岩　手,003,0.2,0.1,-,2160,-,A,L,,10,保合
2016,11,25,金,盛岡,03300,ながいも,36400,岩　手,003,3.9,3.9,-,4536,-,B,3L,,10,強い
2016,11,25,金,盛岡,03300,たまねぎ,36600,,,20.4,,,,,,,,,比較できず
2016,11,25,金,盛岡,03300,にんにく,36700,青　森,002,0.1,0.1,-,1188,-,,,,1,弱い
2016,11,25,金,盛岡,03300,根しょうが,37260,,,0.3,,,,,,,,,比較できず
2016,11,25,金,盛岡,03300,生しいたけ,38100,岩　手,003,0.4,0.4,-,1728,-,ﾑｼﾙｼ,M,菌床,2,強い
2016,11,25,金,盛岡,03300,なめこ,38300,山　形,006,0.5,0.4,-,97,-,A,M,,0.2,弱い
2016,11,25,金,盛岡,03300,えのきだけ,38400,岩　手,003,1.9,0.7,76,-,65,A,M,,0.2,保合
2016,11,25,金,盛岡,03300,しめじ,38500,新　潟,015,0.7,0.2,173,-,162,,,,0.22,強保合
2016,11,25,金,盛岡,03300,まいたけ,38620,新　潟,015,0.4,0.3,151,-,130,,M,,0.1,保合
2016,11,25,金,盛岡,03300,野菜総計,39900,,,166.8,,,,,,,,,
